Processes,Threads,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
3,4,512,512,100,10,row,3.23197,5.40314,4.80146
3,4,512,512,100,10,row,3.22834,5.44221,4.78753
3,4,512,512,100,10,row,3.2534,5.4808,4.83902
3,4,512,512,100,10,row,3.26508,5.45318,4.8073
3,4,512,512,100,10,row,3.24773,5.44416,4.8263
3,4,512,512,100,10,row,3.27281,5.49593,4.89919
3,4,512,512,100,10,row,3.2756,5.51267,4.87063
3,4,512,512,100,10,row,3.28464,5.60912,4.89679
3,4,512,512,100,10,row,3.25027,5.4215,4.78921
3,4,512,512,100,10,row,3.27357,5.44365,4.84439
3,4,512,512,100,10,row,3.26948,5.56548,4.88417
3,4,512,512,100,10,row,3.25938,5.3602,4.77565
3,4,512,512,100,10,row,3.23445,5.43298,4.78671
3,4,512,512,100,10,row,3.25313,5.45428,4.79186
3,4,512,512,100,10,row,3.23963,5.33297,4.73822
3,4,512,512,100,10,row,3.24112,5.44165,4.7808
3,4,512,512,100,10,row,3.22894,5.49613,4.85896
3,4,512,512,100,10,row,2.7655,4.41237,3.96336
3,4,512,512,100,10,row,2.74927,4.43136,3.95034
3,8,512,512,100,10,row,3.00849,5.17036,4.04044
3,8,512,512,100,10,row,3.04061,5.09775,4.12441
3,8,512,512,100,10,row,3.35045,5.5549,4.40599
3,8,512,512,100,10,row,1.82321,5.13267,4.07622
3,8,512,512,100,10,row,2.8392,4.86223,4.03946
3,8,512,512,100,10,row,2.79935,5.51525,4.24625
3,8,512,512,100,10,row,1.71029,5.15997,3.93102
3,8,512,512,100,10,row,2.80632,4.99041,4.11958
3,8,512,512,100,10,row,2.86333,5.13853,4.06537
3,8,512,512,100,10,row,2.40897,5.10823,4.14861
3,8,512,512,100,10,row,2.38011,5.136,4.21606
3,8,512,512,100,10,row,2.47284,5.10049,4.13579
3,8,512,512,100,10,row,2.86583,5.12993,4.00193
3,8,512,512,100,10,row,2.88064,5.23798,3.9578
3,8,512,512,100,10,row,2.82496,4.9872,3.8382
3,8,512,512,100,10,row,2.71848,5.00363,4.18256
3,8,512,512,100,10,row,2.63695,5.30004,4.20846
3,8,512,512,100,10,row,2.78122,4.80933,4.08539
